_RAJ2000,_DEJ2000,recno,CName,Cluster,Inst,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,l_EWLi,EWLi,e_EWLi,f_EWLi,Gamma,e_Gamma,RV,e_RV,MembPA,MembPB,ID,Simbad,_RA,_DE
130.7940833333333,-52.837055555555565,396,08431058-5250134, IC2391,GIRAFFE,3564,57,3.895,,-0.23,,<,100.0,,3,0.829,0.004,14.744,0.245,0.978,,396,Simbad,130.7940833333333,-52.83705555555555
130.81449999999995,-52.64702777777777,400,08431548-5238493, IC2391,GIRAFFE,3380,134,4.844,0.131,-0.26,, ,46.6,,0,0.824,0.011,15.146,0.378,0.975,,400,Simbad,130.81449999999998,-52.64702777777777
130.91004166666664,-52.84863888888889,409,08433841-5250551, IC2391,GIRAFFE,3391,145,4.653,0.12,-0.25,, ,129.7,,0,0.852,0.014,14.072,0.515,0.969,,409,Simbad,130.91004166666664,-52.848638888888885
131.32845833333332,-52.990472222222216,443,08451883-5259257, IC2391,GIRAFFE,3387,152,4.794,0.072,-0.26,, ,128.167,25.875,0,0.832,0.012,14.534,0.367,0.978,,443,Simbad,131.32845833333332,-52.990472222222216
131.35291666666666,-53.02294444444444,445,08452470-5301226, IC2391,GIRAFFE,3446,119,4.62,0.158,-0.23,, ,190.8,,0,0.842,0.01,14.093,0.274,0.971,,445,Simbad,131.35291666666666,-53.02294444444444
131.36216666666664,-52.867222222222225,446,08452692-5252020, IC2391,GIRAFFE,4827,352,4.52,,-0.027,0.032, ,201.95,1.7,0,0.971,0.002,15.793,0.24,0.953,,446,Simbad,131.36216666666664,-52.86722222222222
157.18216666666666,-64.59422222222221,2,10284372-6435392, IC2602,   UVES,6876,36,4.376,0.035,0.006,0.063, ,72.3,,0,,,19.059,0.4,0.916,,2,Simbad,157.18216666666666,-64.59422222222221
158.42420833333333,-64.22936111111112,15,10334181-6413457, IC2602,   UVES,5306,29,4.21,0.012,-0.106,0.019, ,232.0,1.475,0,0.978,0.002,17.053,0.4,0.945,,15,Simbad,158.42420833333333,-64.2293611111111
161.02837499999998,-63.99308333333333,70,10440681-6359351, IC2602,   UVES,5792,11,4.466,0.098,0.025,0.007, ,195.0,,0,,,17.404,0.4,0.947,,70,Simbad,161.02837499999998,-63.993083333333324
161.09399999999997,-64.2583611111111,75,10442256-6415301, IC2602,   UVES,5854,33,4.509,0.09,0.026,0.06, ,165.0,,0,,,17.444,0.4,0.948,,75,Simbad,161.09399999999997,-64.2583611111111
161.56166666666664,-64.04916666666666,92,10461480-6402570, IC2602,   UVES,5796,0,4.38,,0.07,, ,248.8,,0,,,18.273,0.4,0.943,,92,Simbad,161.56166666666664,-64.04916666666666
161.62075,-64.13269444444444,95,10462898-6407577, IC2602,   UVES,6271,0,3.94,,-0.02,, ,117.3,,0,,,16.996,0.4,0.922,,95,Simbad,161.62075,-64.13269444444444
161.71587499999998,-63.57102777777777,102,10465181-6334157, IC2602,   UVES,4857,128,4.632,0.079,-0.07,0.056, ,313.867,2.09,0,0.953,0.002,18.208,0.4,0.954,,102,Simbad,161.71587499999998,-63.57102777777777
161.92245833333334,-64.28491666666666,107,10474139-6417057, IC2602,   UVES,4167,0,4.54,,-0.16,, ,51.3,,0,,,18.612,0.4,0.944,,107,Simbad,161.9224583333333,-64.28491666666666
162.45162499999998,-64.77455555555555,120,10494839-6446284, IC2602,   UVES,5327,123,4.343,0.309,-0.123,0.063, ,289.0,,0,,,18.171,0.4,0.953,,120,Simbad,162.45162499999998,-64.77455555555555
162.48687499999997,-63.80530555555555,123,10495685-6348191, IC2602,   UVES,4714,103,4.46,,-0.034,0.049, ,330.3,,0,,,18.447,0.4,0.947,,123,Simbad,162.48687499999997,-63.80530555555555
163.09841666666665,-63.54905555555556,135,10522362-6332566, IC2602,   UVES,6197,13,4.071,0.058,0.154,0.024, ,15.1,,0,,,18.743,0.4,0.935,,135,Simbad,163.09841666666665,-63.54905555555555
157.0785833333333,-64.52708333333332,162,10281886-6431375, IC2602,GIRAFFE,3319,13,4.76,,-0.26,,<,100.0,,3,0.858,0.013,17.278,0.337,0.948,,162,Simbad,157.0785833333333,-64.52708333333332
158.46666666666664,-64.19047222222221,379,10335200-6411257, IC2602,GIRAFFE,3372,62,4.73,,-0.26,, ,100.7,,0,0.862,0.009,17.889,0.371,0.958,,379,Simbad,158.46666666666664,-64.19047222222221
158.7253333333333,-64.14588888888888,400,10345408-6408452, IC2602,GIRAFFE,4058,185,4.449,0.143,-0.055,0.132, ,158.533,12.318,0,0.865,0.002,18.59,0.24,0.944,,400,Simbad,158.7253333333333,-64.14588888888888
158.83329166666667,-64.06724999999999,412,10351999-6404021, IC2602,GIRAFFE,3401,22,4.617,0.182,-0.26,,<,100.0,,3,0.84,0.007,18.53,0.348,0.948,,412,Simbad,158.83329166666664,-64.06724999999999
159.07604166666664,-64.249,438,10361825-6414564, IC2602,GIRAFFE,3706,17,4.66,,-0.19,, ,110.9,,0,0.828,0.003,18.4,0.24,0.951,,438,Simbad,159.07604166666664,-64.249
159.45591666666664,-64.01402777777777,473,10374942-6400505, IC2602,GIRAFFE,3893,165,4.63,,-0.15,, ,136.9,,0,0.836,0.004,17.622,0.244,0.955,,473,Simbad,159.45591666666664,-64.01402777777777
