    Cluster    Teff  WLi_limit          WLi        e_WLi          ALi        e_ALi              Ref 
      TucHor   3104          1        79.30          nan          nan          nan        Kraus2014 
      TucHor   3320          1       -59.30          nan          nan          nan        Kraus2014 
      TucHor   3532          1       -24.40          nan          nan          nan        Kraus2014 
      TucHor   3048          0       257.20          nan          nan          nan        Kraus2014 
      TucHor   3373          1        -3.90          nan          nan          nan        Kraus2014 
      TucHor   2880          1       -57.80          nan          nan          nan        Kraus2014 
      TucHor   3630          0       323.30          nan          nan          nan        Kraus2014 
      TucHor   3220          1       -14.30          nan          nan          nan        Kraus2014 
      TucHor   3132          1       -49.30          nan          nan          nan        Kraus2014 
      TucHor   2592          0       360.50          nan          nan          nan        Kraus2014 
      TucHor   3132          1         1.20          nan          nan          nan        Kraus2014 
      TucHor   3260          1        52.10          nan          nan          nan        Kraus2014 
      TucHor   3104          1       -41.20          nan          nan          nan        Kraus2014 
      TucHor   3104          1       -38.00          nan          nan          nan        Kraus2014 
      TucHor   3104          1        24.80          nan          nan          nan        Kraus2014 
      TucHor   3132          1        19.10          nan          nan          nan        Kraus2014 
      TucHor   2908          0       526.10          nan          nan          nan        Kraus2014 
      TucHor   3200          1       -13.80          nan          nan          nan        Kraus2014 
      TucHor   2880          0       249.40          nan          nan          nan        Kraus2014 
      TucHor   3180          1       -36.40          nan          nan          nan        Kraus2014 
      TucHor   3340          1       -35.10          nan          nan          nan        Kraus2014 
      TucHor   1440          0       673.20          nan          nan          nan        Kraus2014 
      TucHor   3360          1       -17.50          nan          nan          nan        Kraus2014 
      TucHor   3546          1       -12.30          nan          nan          nan        Kraus2014 
      TucHor   3020          1       -54.60          nan          nan          nan        Kraus2014 
      TucHor   4396          0       126.80          nan          nan          nan        Kraus2014 
      TucHor   3477          1        -5.30          nan          nan          nan        Kraus2014 
      TucHor   3160          1       -41.80          nan          nan          nan        Kraus2014 
      TucHor   3200          1       -29.80          nan          nan          nan        Kraus2014 
      TucHor   3504          1        -7.10          nan          nan          nan        Kraus2014 
      TucHor   4292          0       215.30          nan          nan          nan        Kraus2014 
      TucHor   3504          1        28.90          nan          nan          nan        Kraus2014 
      TucHor     -1          0       177.70          nan          nan          nan        Kraus2014 
      TucHor   3020          0       375.10          nan          nan          nan        Kraus2014 
      TucHor   2908          0       639.90          nan          nan          nan        Kraus2014 
      TucHor   3320          1       -12.10          nan          nan          nan        Kraus2014 
      TucHor   3300          1        -5.80          nan          nan          nan        Kraus2014 
      TucHor   2936          0       499.60          nan          nan          nan        Kraus2014 
      TucHor   2992          0       566.00          nan          nan          nan        Kraus2014 
      TucHor   4254          1        34.20          nan          nan          nan        Kraus2014 
      TucHor   3132          1       -20.60          nan          nan          nan        Kraus2014 
      TucHor   3076          1       -40.10          nan          nan          nan        Kraus2014 
      TucHor   3132          1       -88.90          nan          nan          nan        Kraus2014 
      TucHor   3076          1       -27.30          nan          nan          nan        Kraus2014 
      TucHor   3076          1       -23.00          nan          nan          nan        Kraus2014 
      TucHor   3518          1        -8.60          nan          nan          nan        Kraus2014 
      TucHor   3320          1       -18.80          nan          nan          nan        Kraus2014 
      TucHor   3220          1         6.90          nan          nan          nan        Kraus2014 
      TucHor   3048          1        45.00          nan          nan          nan        Kraus2014 
      TucHor   3616          1        -1.20          nan          nan          nan        Kraus2014 
      TucHor   3076          1       -82.90          nan          nan          nan        Kraus2014 
      TucHor   3240          1         9.20          nan          nan          nan        Kraus2014 
      TucHor   3240          1       -22.60          nan          nan          nan        Kraus2014 
      TucHor   3180          1       -43.30          nan          nan          nan        Kraus2014 
      TucHor   1728          0       689.50          nan          nan          nan        Kraus2014 
      TucHor   2964          1       -44.80          nan          nan          nan        Kraus2014 
      TucHor   3574          1        11.30          nan          nan          nan        Kraus2014 
      TucHor   3076          1        39.50          nan          nan          nan        Kraus2014 
      TucHor   2964          0       540.60          nan          nan          nan        Kraus2014 
      TucHor   3180          1        34.10          nan          nan          nan        Kraus2014 
      TucHor   3320          1         7.40          nan          nan          nan        Kraus2014 
      TucHor   3160          1         5.60          nan          nan          nan        Kraus2014 
      TucHor   3220          1       -22.80          nan          nan          nan        Kraus2014 
      TucHor   3132          1       -36.30          nan          nan          nan        Kraus2014 
      TucHor   3160          1        42.70          nan          nan          nan        Kraus2014 
      TucHor   3132          1        46.30          nan          nan          nan        Kraus2014 
      TucHor   4216          0       347.90          nan          nan          nan        Kraus2014 
